vendor_guid,object_type,title,description,friendly_description,display_name,calculation_method,calculation_int,parent_guids,workflow_state,mastery_points,ratings,,,,,,,,,
PCC_ROOT,group,TEST TEST ,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:514097,group,DH,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:518211,group,BIOL,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:513666,group,MICR,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:521931,group,AHSD,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:408158,group,Pasadena City College,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:492562,group,EMED,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:492667,group,SPAN,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:492922,group,FRNC,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:489125,group,GEOL,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:489118,group,CHEM,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:496899,group,ESLV,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:497111,group,CIS,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:497123,group,NURS,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:497229,group,PHOT,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:497248,group,PHSC,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:497231,group,LIB,,,,,,,active,,,,,,,,,,,
canvas_outcome_group:506379,group,DMA,,,,,,,active,,,,,,,,,,,
PASADENA_ROOT,group,1. PASADENA CITY COLLEGE,,,,,,,active,,,,,,,,,,,
BUS_DIV,group,BUS - DIVISION LEVEL TEST,,,,,,PCC_ROOT,active,,,,,,,,,,,
canvas_outcome_group:514098,group,DH113B,,,,,,canvas_outcome_group:514097,active,,,,,,,,,,,
canvas_outcome_group:518212,group,BIOL020,,,,,,canvas_outcome_group:518211,active,,,,,,,,,,,
canvas_outcome_group:513667,group,MICR002,,,,,,canvas_outcome_group:513666,active,,,,,,,,,,,
canvas_outcome_group:520834,group,TEST Only,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408147,group,COUNSELING,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408145,group,SCHOOL OF HEALTH SCIENCES,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408150,group,SCHOOL OF SCIENCE AND MATHEMATICS,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408146,group,"SCHOOL OF BUSINESS, ENGINEERING & TECHNOLOGY",,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408148,group,SCHOOL OF HUMANITIES AND SOCIAL SCIENCES,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408149,group,LIBRARY,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408151,group,OFFICE OF INSTRUCTION,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408152,group,SPECIAL SERVICES,,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:408153,group,"SCHOOL OF VISUAL, MEDIA AND PERFORMING ARTS",,,,,,canvas_outcome_group:408158,active,,,,,,,,,,,
canvas_outcome_group:492563,group,EMED101A,,,,,,canvas_outcome_group:492562,active,,,,,,,,,,,
canvas_outcome_group:492668,group,SPAN025,,,,,,canvas_outcome_group:492667,active,,,,,,,,,,,
canvas_outcome_group:492923,group,FRNC001,,,,,,canvas_outcome_group:492922,active,,,,,,,,,,,
canvas_outcome_group:489126,group,GEOL006,,,,,,canvas_outcome_group:489125,active,,,,,,,,,,,
canvas_outcome_group:489119,group,CHEM108,,,,,,canvas_outcome_group:489118,active,,,,,,,,,,,
canvas_outcome_group:489294,group,CHEM002A,,,,,,canvas_outcome_group:489118,active,,,,,,,,,,,
canvas_outcome_group:496900,group,ESLV5000,,,,,,canvas_outcome_group:496899,active,,,,,,,,,,,
canvas_outcome_group:497112,group,CIS001,,,,,,canvas_outcome_group:497111,active,,,,,,,,,,,
canvas_outcome_group:497124,group,NURS126,,,,,,canvas_outcome_group:497123,active,,,,,,,,,,,
canvas_outcome_group:497230,group,PHOT031,,,,,,canvas_outcome_group:497229,active,,,,,,,,,,,
canvas_outcome_group:497249,group,PHSC002,,,,,,canvas_outcome_group:497248,active,,,,,,,,,,,
canvas_outcome_group:497232,group,LIB120,,,,,,canvas_outcome_group:497231,active,,,,,,,,,,,
canvas_outcome_group:506380,group,DMA002,,,,,,canvas_outcome_group:506379,active,,,,,,,,,,,
PCAN_DEPT,group,Personal Care (PCAN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CHIN_DEPT,group,Chinese (CHIN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
DANC_DEPT,group,Dance (DANC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
FASH_DEPT,group,Fashion (FASH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
FLNG_DEPT,group,Foreign Languages (FLNG),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
